species name,specimen index
Ficus tincteria,T2265
Ficus wightiana,T0390
Ficus irregularis,T0398
Ficus benghalensis,T0396
Ficus pumila,T0979
Ficus retusa,U0050
Ficus wightiana,U0904
Ficus pumila,U0604
Ficus religiosa,T1493
Ficus stipulata,U0795
Zelkova carpinifolia,T0213
Zelkova serrata,U1112
Zelkova sinica,T1280
Zelkova serrata,U4304
Zelkova carpinifolia,U1148
Zelkova serrata,U1397
Zelkova verschaffeltii,T1948
Zelkova abelicea,U1245
Zelkova serrata,U4302
Zelkova serrata,U4303
Quercus chrysolepis,T1574
Quercus lobbi,T2469
Quercus spinosa var.,T2641
Quercus phellos,T0577
Quercus aquifolioides,T2451
Quercus schottkyana,T2479
Quercus skinneri,T2651
Quercus turbinella,T2400
Quercus rolfsi,T2638
Quercus nitens,T2473
Quercus rubra,T0117
Quercus pungens,T2688
Quercus crispipilis,T2663
Quercus setulosa,T2631
Quercus alba,U1097
Quercus undulata,T2369
Quercus bambusaefolia,T2616
Quercus pyrenaica,U1083
Quercus semicarpifolia,T2385
Quercus brenesii,T2646
Quercus mongolica,U1096
Quercus costaricensis,T2708
Quercus repanda,T2690
Quercus virginiana,T0668
Quercus muhlenbergii var.,T2064
Quercus hui,T2628
Quercus gambelii,T2394
Quercus platycalyx,T2477
Quercus robur,U1063
Quercus acutifolia,T2645
Quercus edithae,T2623
Quercus laurina,T2674
Quercus sororia,T2698
Quercus canariensis,U1074
Quercus imbricaria,U1085
Quercus pringlei,T2383
Quercus stenophylla,T0129
Quercus miyagii,T0556
Quercus aegilops,T2397
Quercus cordifolia,T2661
Quercus phillyraeoides,U0018
Quercus sinuata var.,T2696
Quercus sapotaefolia,T2723
Quercus paucidentata,T0134
Quercus imbricaria,T1251
Quercus hypoleucoides,T2437
Quercus salicifolia,T2722
Quercus dilatata,T2622
Quercus fulva,T2736
Quercus laurifolia,U1075
Quercus benthamii,T2707
Quercus skutchii,T2697
Quercus kingiana,T2466
Quercus undulata,T2703
Quercus emoryi,T2434
Quercus pumila,T2636
Quercus leucotrichophora,T1110
Quercus dysophylla,T2734
Quercus cornea,T2621
Quercus stenophylloides,T2640
Quercus serrata,U0429
Quercus coccolibifolia,T2730
Quercus monogolica,U1072
Quercus microphylla,T2678
Quercus arkansana,T2389
Quercus grisea,T2435
Quercus sessilifolia,T2045
Quercus fleuryi,T2624
Quercus oleioides,T2684
Quercus suber,T1857
Quercus oblongifolia,T2682
Quercus lamellosa,T2467
Quercus arizonica,U1399
Quercus pubescens,T2384
Quercus lancifolia,T2742
Quercus iberica,U1396
Quercus macrocarpa,U1095
Quercus phillyraeoides,U0016
Quercus petraea,T1872
Quercus kelloggii,T0115
Quercus griffthii,T2462
Quercus crassipes,T2458
Quercus sartorii,T2650
Quercus cerris,U1076
Quercus montana,T2380
Quercus fleuryi,T2459
Quercus chapmanni,T2371
Quercus macdougallii,T2743
Quercus brandisiana,T2617
Quercus lyrata,T0114
Quercus agtifolia,U1098
Quercus deressa,T2664
Quercus uxoris,T2654
Quercus variabilis,T0132
Quercus ilex,U1094
Quercus xalapensis,T2653
Quercus pyrenaica,T2078
Quercus calliprinus,T2456
Quercus nubium,T2441
Quercus uruapanensis,T2652
Quercus laurifolia,T2360
Quercus petraea,U1071
Quercus petraea,U1082
Quercus helferiana,T2463
Quercus incana,U0794
Quercus monimotrica,T2471
Quercus durandii,T2376
Quercus diversifolia,T2720
Quercus spicata,T2725
Quercus viminea,T2704
Quercus dumosa,T2433
Quercus hypxantha,T2740
Quercus argentata,T2814
Quercus stellata,T1253
Quercus michauxii,T2440
Quercus glauca,U0031
Quercus laurina,T2675
Quercus velutina,T1255
Quercus castanea,T2729
Quercus seemenni,T2724
Quercus prinus,U0907
Quercus perseaefolia,T2711
Quercus bolanyosensis,T2657
Quercus toxicodendrifolia,T2748
Quercus freubriana,T2460
Quercus toumeyi,T2701
Quercus greggii,T2712
Quercus geminata,T2626
Quercus longinux var.,T2632
Quercus trojana,T2376
Quercus muhlenbergii,U1067
Quercus cedroscens,T2659
Quercus sebifera,T2693
Quercus lusitanica,T2379
Quercus prinus,T0135
Quercus georgiana,T2374
Quercus nuttallii,T2393
Quercus peninsularis,T2686
Quercus xylina,T2751
Quercus austrina,T2452
Quercus kellogii,U1099
Quercus rehderiana,T2478
Quercus pinatubensis,T2634
Quercus cornelius-mulleri,T2662
Quercus petraea,U1086
Quercus liaotungensis,T2378
Quercus fabri,T2423
Quercus infectoria,T2464
Quercus nigra,T2381
Quercus macrocarpa,T0118
Quercus macrantera,T1873
Quercus glaucescens,T2711
Quercus kerrii,T2465
Quercus gilva,T0131
Quercus aegilopsis,U1080
Quercus tomentella,T2700
Quercus alba,U0738
Quercus bumelioides,T2727
Quercus elliptica,T2710
Quercus acuta,T0133
Quercus serrata,T0138
Quercus lanata,T2468
Quercus macrolepis,U1078
Quercus potosina,T2717
Quercus engleriana,T2755
Quercus cornea,U0523
Quercus praineana,T2718
Quercus intricata,T2672
Quercus subur,U1091
Quercus tarokoensis,T3287
Quercus crassifolia,T2733
Quercus affinis,T2656
Quercus glaucoides,T2461
Quercus canbyi,T2647
Quercus ilicifolia,T1318
Quercus dunnii,T2667
Quercus gambelii,T2375
Quercus glabrescens,T2738
Quercus sideroxyla,T2747
Quercus confertifolia,T2660
Quercus epileuca,T2735
Quercus durifolia,T2668
Quercus chenii,T2420
Quercus alveolata,T2726
Quercus camusae,T2618
Quercus blakeiparvifolia,U0697
Quercus chapaensis,T2619
Quercus prinoides,T2322
Quercus oblongifolia,T2683
Quercus frainetto,T2391
Quercus coccifera,T2370
Quercus palustris,U1101
Quercus insignis,T2741
Quercus fusiformis,T2671
Quercus calophylla,T2457
Quercus oleioides,T2685
Quercus wislizenii,T1563
Quercus myrsinaefolia,T0130
Quercus corrugata,T2732
Quercus obtusana,T2382
Quercus baronii,T2543
Quercus planipocula,T1744
Quercus lineata,T2630
Quercus serrata,U0430
Quercus devia,T2666
Quercus morii,T2633
Quercus incana,T2390
Quercus ilicifolium,U0092
Quercus crassifolia,T1976
Quercus bicolor,U0859
Quercus glauca,T0120
Quercus muehlenbergii,T2680
Quercus tarokoensis,U1105
Quercus agrifolis,T0136
Quercus hartwissiana,T2320
Quercus aegilopsis,U1068
Quercus alba,T0113
Quercus phellos,U0245
Quercus invaginata,T2673
Quercus hintoni,T2739
Quercus mohriana,T2679
Quercus cortesii,T2648
Quercus conzattii,T2731
